timestamp,itemName,quantity,size,attributes,condition,expirationDate,compartmentCapacity,compartmentQualities,addedBy
<<<<<<< HEAD
2025-12-05T21:02:09.246986,Water,100,1.0,LIQUID,PERFECT,2029-12-22,200,LIQUID,crewmate1
2025-12-05T21:04:10.601843600,Gun Powder,10,1.0,FLAMMABLE,USABLE - Limited Stock,2030-12-28,100,FLAMMABLE,quarter1
2025-12-08T14:47:20.426358100,food,1,1.0,PERISHABLE;LIQUID,PERFECT - aaaaaaaaa,2025-12-24,200,PERISHABLE;LIQUID,crewmate1
2025-12-08T14:57:32.261675700,aaa,1,1.0,PERISHABLE;LIQUID,PERFECT - aaaaaa,2025-12-18,200,PERISHABLE;LIQUID,crewmate1
2025-12-08T14:58:37.725042700,bbbb,2,2.0,FLAMMABLE,USABLE - bbbbb,2025-12-11,100,FLAMMABLE,crewmate1
2025-12-08T14:59:01.910854700,cccc,5,5.0,PERISHABLE,UNUSABLE - ccccc,2026-01-09,200,PERISHABLE,crewmate1
=======
<<<<<<< HEAD
2025-12-08T14:29:06.850852100,Fruit,10,1.0,PERISHABLE,USABLE,2026-01-02,200,PERISHABLE,quarter1
2025-12-08T14:29:28.249024300,Milk,11,1.0,PERISHABLE;LIQUID,USABLE,2026-01-02,200,PERISHABLE;LIQUID,quarter1
2025-12-08T15:58:46.133924300,Gun powder,10,1.0,FLAMMABLE,USABLE,2029-12-29,100,FLAMMABLE,crewmate1
2025-12-08T16:00:03.914148200,Oil,30,1.0,FLAMMABLE;LIQUID,USABLE,2028-12-30,200,FLAMMABLE;LIQUID,crewmate1
=======
2025-12-06T13:51:52.346949800,fufu,1,1.0,PERISHABLE,USABLE - Fufu - Egusi,2027-12-31,200,PERISHABLE,quarter1
<<<<<<< HEAD
>>>>>>> 823f05ad51ff87b8cfb4835fd0ffe75ffa9d9f59
>>>>>>> b63b5cd1e499732b37afa6d70a372ea310467108
=======
2025-12-08T16:04:40.674313,fufu,1,1.0,PERISHABLE,USABLE - FUFU - Nigeria,2030-12-20,200,PERISHABLE,quarter1
2025-12-08T21:57:07.322188200,Gyro,10,10.0,PERISHABLE,USABLE,2025-12-26,200,PERISHABLE,quarter1
2025-12-09T00:08:43.709040200,Jollof,5,5.0,PERISHABLE,USABLE,2025-12-31,200,PERISHABLE,quarter1
>>>>>>> featureRemoveStockButton
